index,latitude,longitude,street_name,street_counter
0,43.7155503,10.4016837,Ponte di Mezzo; Lungarno Galileo Galilei; Lungarno Gambacorti; Lungarno Gambacorti,4
1,43.7156025,10.3949766,Ponte Solferino; Lungarno Antonio Pacinotti; Lungarno Ranieri Simonelli; Piazza Solferino,4
2,43.7158105,10.3955213,Lungarno Antonio Pacinotti; Via del Buongusto; Lungarno Antonio Pacinotti,3
3,43.7158011,10.4003727,Lungarno Gambacorti; Lungarno Gambacorti; Via Pietro Toselli,3
4,43.7158286,10.3996151,Via delle Belle Donne; Lungarno Gambacorti; Lungarno Gambacorti,3
5,43.7147231,10.3957059,Via Francesco Crispi; Lungarno Sidney Sonnino; Ponte Solferino; Lungarno Gambacorti; Lungarno Gambacorti,5
6,43.7211779,10.3914214,Via Giunta Pisano; Via Bonanno Pisano,2
7,43.7221479,10.3882131,Via Diotisalvi; Via Andrea Pisano; Via Giunta Pisano,3
8,43.7229513,10.3982212,Via Cardinale Pietro Maffi; Via San Ranierino; Via Cardinale Pietro Maffi,3
9,43.7228801,10.3985253,Via Cardinale Pietro Maffi; Via Ugo Camozzo; Via Cardinale Pietro Maffi,3
10,43.71338,10.3888137,Via Bonanno Pisano; Lungarno Giacomo Leopardi; Piazza di Terzanaia,3
11,43.715621, 10.387824,Via Bonanno Pisano; Via dei Macelli,2
12,43.7164088,10.3882581,Via Bonanno Pisano; Via dei Macelli,2
13,43.7181759,10.3894504,Via Rustichello da Pisa; Via Turino Vanni; Via Bonanno Pisano; Via Bonanno Pisano; Via Pietro da Pisa,5
14,43.7228292,10.3922295,Via G. Battista Niccolini; Via Andrea Pisano; Via Bonanno Pisano,3
15,43.7228368,10.3895119,Via Andrea Pisano; Via Vecchia Barbaricina,2
16,43.7228354,10.4017621,Largo del Parlascio; Via Luigi Bianchi; Via del Brennero; Via Contessa Matilde; Via Contessa Matilde,5
17,43.7241928,10.402379,Via Luigi Bianchi; Via Santo Stefano,2
18,43.7245985,10.4024017,Via Luigi Bianchi; Via Giuseppe Cesare Abba,2
19,43.7163779,10.3947648,Via Roma; Via Enrico Fermi; Piazza Solferino; Via Roma; Via Enrico Fermi,5
